id,name,intelligence,strength,speed,durability,power,combat,full-name,alter-egos,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg,BMI
1,A-Bomb,38.0,100.0,17.0,80.0,24.0,64.0,Richard Milhouse Jones,No alter egos found.,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",02/13/2008,Marvel Comics,good,Male,Human,"[""6'8"", '203 cm']","['980 lb', '441 kg']",yellow,no hair,"Musician, adventurer, author; formerly talk show host",Unknown,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",203.0,980.0,237.812128418549
3,Abin Sur,50.0,90.0,53.0,64.0,99.0,65.0,Unknown,No alter egos found.,Lagzia,Ungara,"Showcase #22 (October, 1959)",08/25/1959,DC Comics,good,Male,Ungaran,"[""6'1"", '185 cm']","['200 lb', '90 kg']",blue,no hair,"Green Lantern, former history professor",Oa,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",185.0,200.0,58.4368151935719
4,Abomination,63.0,80.0,53.0,90.0,62.0,95.0,Emil Blonsky,No alter egos found.,"Agent R-7, Ravager of Worlds","Zagreb, Yugoslavia",Tales to Astonish #90,02/01/1967,Marvel Comics,bad,Male,Human / Radiation,"[""6'8"", '203 cm']","['980 lb', '441 kg']",green,no hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",203.0,980.0,237.812128418549
5,Abraxas,88.0,63.0,83.0,100.0,100.0,55.0,Abraxas,No alter egos found.,Unknown,Within Eternity,Fantastic Four Annual #2001,08/15/2001,Marvel Comics,bad,Male,Cosmic Entity,"['-', '0 cm']","['- lb', '0 kg']",blue,black,Dimensional destroyer,Unknown,Cosmic Beings,"Eternity (""Father"")",,,
6,Absorbing Man,38.0,80.0,25.0,100.0,98.0,64.0,Carl Creel,No alter egos found.,"Greithoth, Crusher Creel, Rocky Davis, Dynamite Davis, Lightningbolt, Prisoner #24957","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",02/04/1964,Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['270 lb', '122 kg']",blue,no hair,Professional criminal; former professional boxer,Unknown,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",193.0,270.0,72.4851673870439
8,Adam Strange,69.0,10.0,33.0,40.0,37.0,50.0,Adam Strange,No alter egos found.,"Warrior of Two Worlds, Savior of Rann","Chicago, Illinois","Outsiders #6 (April, 1986)",02/06/1986,DC Comics,good,Male,Human,"[""6'1"", '185 cm']","['195 lb', '88 kg']",blue,blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",185.0,195.0,56.9758948137326
10,Agent Bob,10.0,8.0,13.0,5.0,5.0,20.0,Bob,No alter egos found.,"Bob, agent of Hydra, Bob, agent of A.I.M",Unknown,"Cable & Deadpool #38 (May, 2007)",03/28/2007,Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['181 lb', '81 kg']",brown,brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),178.0,181.0,57.1266254260826
11,Agent Zero,75.0,28.0,38.0,80.0,72.0,95.0,Christoph Nord,No alter egos found.,Maverick,Unrevealed location in former East Germany,Unknown,,Marvel Comics,good,Male,Unknown,"[""6'3"", '191 cm']","['230 lb', '104 kg']",unknown,unknown,"Mercenary, former government operative, freedom fighter",Unknown,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",191.0,230.0,63.0465173652038
12,Air-Walker,50.0,85.0,100.0,85.0,100.0,40.0,Gabriel Lan,No alter egos found.,Unknown,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,03/14/1972,Marvel Comics,bad,Male,Unknown,"[""6'2"", '188 cm']","['240 lb', '108 kg']",blue,white,"Former starship captain, Herald of Galactus",Unknown,"Former member of Nova Corps, Heralds of Galactus",Unknown,188.0,240.0,67.9040289723857
13,Ajax,56.0,48.0,35.0,80.0,34.0,55.0,Francis,No alter egos found.,"Frankie, the A-Man, the Attending",Unknown,"Deadpool #14 (March, 1998)",01/14/1998,Marvel Comics,bad,Male,Cyborg,"[""6'4"", '193 cm']","['200 lb', '90 kg']",brown,black,Unknown,Unknown,Formerly Weapon X,Unknown,193.0,200.0,53.6927165829955
