id,name,intelligence,strength,speed,durability,full-name,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg
1,A-Bomb,38.0,100.0,17.0,80.0,Richard Milhouse Jones,Rick Jones,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",2008-02-13,Marvel Comics,good,Male,Human,"[""6'8"", '203 cm']","['980 lb', '441 kg']",yellow,no hair,"Musician, adventurer, author; formerly talk show host",Unknown,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",203.0,980.0
3,Abin Sur,50.0,90.0,53.0,64.0,Unknown,Lagzia,Ungara,"Showcase #22 (October, 1959)",1959-08-25,DC Comics,good,Male,Ungaran,"[""6'1"", '185 cm']","['200 lb', '90 kg']",blue,no hair,"Green Lantern, former history professor",Oa,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",185.0,200.0
4,Abomination,63.0,80.0,53.0,90.0,Emil Blonsky,"Agent R-7, Ravager of Worlds","Zagreb, Yugoslavia",Tales to Astonish #90,1967-02-01,Marvel Comics,bad,Male,Human / Radiation,"[""6'8"", '203 cm']","['980 lb', '441 kg']",green,no hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",203.0,980.0
6,Absorbing Man,38.0,80.0,25.0,100.0,Carl Creel,"Greithoth, Crusher Creel, Rocky Davis, Dynamite Davis, Lightningbolt, Prisoner #24957","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",1964-02-04,Marvel Comics,bad,Male,Human,"[""6'4"", '193 cm']","['270 lb', '122 kg']",blue,no hair,Professional criminal; former professional boxer,Unknown,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",193.0,270.0
8,Adam Strange,69.0,10.0,33.0,40.0,Adam Strange,"Warrior of Two Worlds, Savior of Rann","Chicago, Illinois","Outsiders #6 (April, 1986)",1986-02-06,DC Comics,good,Male,Human,"[""6'1"", '185 cm']","['195 lb', '88 kg']",blue,blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",185.0,195.0
10,Agent Bob,10.0,8.0,13.0,5.0,Bob,"Bob, agent of Hydra, Bob, agent of A.I.M",Unknown,"Cable & Deadpool #38 (May, 2007)",2007-03-28,Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['181 lb', '81 kg']",brown,brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),178.0,181.0
12,Air-Walker,50.0,85.0,100.0,85.0,Gabriel Lan,Unknown,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,1972-03-14,Marvel Comics,bad,Male,Unknown,"[""6'2"", '188 cm']","['240 lb', '108 kg']",blue,white,"Former starship captain, Herald of Galactus",Unknown,"Former member of Nova Corps, Heralds of Galactus",Unknown,188.0,240.0
13,Ajax,56.0,48.0,35.0,80.0,Francis,"Frankie, the A-Man, the Attending",Unknown,"Deadpool #14 (March, 1998)",1998-01-14,Marvel Comics,bad,Male,Cyborg,"[""6'4"", '193 cm']","['200 lb', '90 kg']",brown,black,Unknown,Unknown,Formerly Weapon X,Unknown,193.0,200.0
14,Alan Scott,63.0,80.0,23.0,90.0,Alan Ladd Wellington Scott,"Green Lantern, White King, Sentinal",Gotham City,All-American Comics 16 (1940),1940-04-18,DC Comics,good,Male,Unknown,"[""5'11"", '180 cm']","['201 lb', '90 kg']",blue,blond,Unknown,Gotham City and New York City; Formerly Capitol City,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",180.0,201.0
17,Alfred Pennyworth,63.0,10.0,17.0,10.0,Alfred Thaddeus Crane Pennyworth,Alfred Beagle,Unknown,"Batman #16 (April, 1943)",1943-02-10,DC Comics,good,Male,Human,"[""5'10"", '178 cm']","['160 lb', '72 kg']",blue,black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",178.0,160.0
